gender,comment,talkid,videourl,tone,expertise,encouraging,respectful
male,"my advice, just quit your jobs, and become a fanatical stephan harris groupie, following them everywhere. i just want to hang out, and forget everything else. drink fresh dark coffee, and drift away, on the frequencies. ya dig daddy o.",1052,http://download.ted.com/talks/ElizabethLesser_2010W.mp4,Positive,No Degree,Discouraging,Neutral
male,"finally! it's about time people start realizing that ""government"" simply doesn't work. using force to get people to do, or not do, things always has detrimental unintended consequences. they have to want it as much as you do. (you attract more flies with honey, etc.)",1313,http://download.ted.com/talks/JaneFonda_2011X.mp4,Positive,Non-STEM degree,Discouraging,Neutral
female,i loved this talk. but if the liar knows what signs give him away won't he become a better liar?,1092,http://download.ted.com/talks/DebRoy_2011.mp4,Strongly Positive,STEM degree,Encouraging,Respectful
male,"this is a great guy. i still can't believe how is it possible to build streets with no sidewalks... in europe it's unbelievable. it's like shooting yourself in the knee. sounds like building a prison. where did your democracy go, guys?",525,http://download.ted.com/talks/AlexTabarrok_2009.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"i think this could be true, but thinking this way, also leads to the fact that, he also is experiencing a bias in his believes, wich makes it the 5 stories we tell ourselvs.",533,http://download.ted.com/talks/MaeJemison_2002.mp4,Positive,Non-STEM degree,Encouraging,Neutral
male,"this is a very interesting talk. i wish he explains more about his discovery. anyways, does this mean that in every family there will be bad news at some point? hmm...",1605,http://download.ted.com/talks/EmmaTeeling_2012X.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"but alan, how are organizations supposed to make/save money if they don't trick most of their end users?",1465,http://download.ted.com/talks/SethShostak_2012X.mp4,Positive,STEM degree,Encouraging,Neutral
male,"“do not strain your eyes in longing for the things that we have given to some groups of them to enjoy, the splendour of the life of this world through which we test them.  the provision of your lord is better and more lasting.” (quran 20:131)",955,http://download.ted.com/talks/ChrisAnderson_2010G.mp4,Neutral,Non-STEM degree,Encouraging,Neutral
male,"remember that a few years ago, you play albums backwards there are satanic messages? let me tell you something, if you've ever sat around playing your albums backwards, you are satan. bill hicks :)",2043,http://download.ted.com/talks/NicholasNegroponte_2014.mp4,Negative,Non-STEM degree,Discouraging,Neutral
male,"phil, i also am an artist (and an art teacher) with a tremor in my right hand.  i would love to talk to you about your journey! iteachart2000@yahoo.com",666,http://download.ted.com/talks/DavidDeutsch_2009G.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
female,nice talk it's really enjoyable to be wrong how exciting it is when you laugh on your own mistake.....,1208,http://download.ted.com/talks/DyandeNapoli_2011X.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
female,"jesus lived vulnerably.  he lived to show all mankind that we are worthy of god's love.  jesus lived and died so that we can live whole-hearted.  through faith in jesus, and his perfection that is imputed to me by faith -- i am ""good enough"".",1287,http://download.ted.com/talks/KathrynSchulz_2011S.mp4,Positive,Non-STEM degree,Encouraging,Neutral
male,"it is a great speech indeed. however, he seems to miss out on medias. when you see that a channel called ""good food"" broadcast a show such as ""man vs. food"", this is a real disgrace.",1492,http://download.ted.com/talks/DonTapscott_2012G.mp4,Positive,Non-STEM degree,Discouraging,Disrespectful
male,"it starts from within, & ""follow your own dream uninvited""! i really like his definition of apathy - it's a complex web!",1213,http://download.ted.com/talks/SvantePaabo_2011G.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"upon watching this idea, i predict mike rowe will run as a candidate (of any kind) for/in ca within the next 10 years. he doesn't want to do it (but will eventually with success and purpose) and he is fighting himself like no other from the inevitable.",1693,http://download.ted.com/talks/DannyHillis_2013.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"how awesome was that?  the great part was him thinking out loud and ""showing"" us what was going on in his head.  if we can get kids to do this we might be able to help them and/or us be better learners and teachers.",1920,http://download.ted.com/talks/TeddyCruz_2013G.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"jeff seems very frazzled - swerving off-topic at every corner, or perhaps this is how he managed to repeatedly secure operating funds for amazon from thin air, by confusing his potential investors until they were convinced he was smarter than they were.",1995,http://download.ted.com/talks/DeborahGordon_2014.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
female,"hi thandie newton,thank you very much for sharing the talk with us.the talk definitely worths sharing with anyone~!~your feeling of oneness is so great.yes,it means to connect everything and everyone around you,do things from essence and heart,we will feel extremely amazed in this world...applause for your wonderful talk~!~",1143,http://download.ted.com/talks/RonGutman_2011U.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,did you notice his uncanny resemblance to yuri gagarin?,898,http://download.ted.com/talks/EllenDunhamJones_2010X.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
male,he is a brilliant talented stand-up comedian but surely not an artist. i enjoyed the first 2 minutes and then i started to feel uneasy and depressed with his views and his impersonating techniques. the real difficulty in art and design is to select one concept not 100.,1167,http://download.ted.com/talks/JDSchramm_2011A.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"sad that some people would challenge this without knowing the facts. maybe she really can't say how she escaped, for fear of harming others chances. we don't know. but we don't accuse either.  maybe you should think before you level judgement too.",714,http://download.ted.com/talks/AlexisOhanian_2009I.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
female,"very inspiring to see such youngsters tackling  a huge problem of plastic waste in such an innovative form. their curiosity, research and thirst of knowledge led them to this (accidental) discovery. absolutely brilliant and well done !",626,http://download.ted.com/talks/EvanGrant_2009G.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"fascinating talk because of his honesty and shamelessness. in order to succeed in explaining with his own words complex philosophical subjects, he just acted on his genius and creativity. it was natural, original and hard to deliver to a very accepting audience of more advanced speakers.",1923,http://download.ted.com/talks/ClaytonCameron_2013Y.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"hello yoav,  my brother had tumor (endo-supra-ante-retro). he had an operation and radio therapy but a part of his tumor was not removed and this tumor produces hormons of growth.  do you do operation for this kind of tumor?",1053,http://download.ted.com/talks/AliCarrChellman_2010X.mp4,Positive,STEM degree,Encouraging,Neutral
male,why is it so difficult to understand that in spanish speaking countries people use both their father and mother's last name? gabriel garcia marquez is not to be referred as marquez he is garcia marquez.  please at least respect this.,1002,http://download.ted.com/talks/EmilyPilloton_2010G.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
female,"what an inspiration this women is.. & it all comes down to truth.. she is honest & not scared to face her fears.. & doesn't take herself too seriously"" you are that i am that we are all that!""",1710,http://download.ted.com/talks/FreemanHrabowski_2013.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
female,"her book is fabulous, and this talk is a great summary. if you see yourself in the qualities she describes, please read the book. it will fill you with comfort and reassurance that you are not alone (unless and until you need to be for a while!) ;)",991,http://download.ted.com/talks/RAMashelkar_2009I.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,"apps, its crazy what kids know. while working for a few charleston wedding photographers at www.charlestonsnapped.com who use to make wedding apps. not sure if they still make them but few were mary me apps.",1069,http://download.ted.com/talks/NigelMarsh_2010X.mp4,Neutral,Non-STEM degree,Discouraging,Neutral
female,"i'm interested to know how somebody who feels they are suspected of lying would behave, who feel their innocence is challenged. are their behaviour patterns similar?",1092,http://download.ted.com/talks/DebRoy_2011.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"i see this so much in my sister.  she is constantly texting on her phone and on facebook, and she is an absolute failure at actually connecting to people.  she does not know how to have a healthy relationship or how to treat people with respect.",971,http://download.ted.com/talks/EbenBayer_2010G.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
female,as a homeschooling mother of 4 i am reminded of the importance of imaginative play. very blessed by this and love that you had the courage to follow your passion in spite of any imagined obstacles. any suggestions for homeschoolers?,1172,http://download.ted.com/talks/OnyxAshanti_2011S.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
female,"first feed me, then i will talk better  bs than you liz ,eliz is in her own world, not useful for a normal human being !!",1710,http://download.ted.com/talks/FreemanHrabowski_2013.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
female,"there is very simple way to turn ""bad stress"" to ""good stress"" used by special forces around the world. simple thing that you have to learn to do is following: forget about results, don't think about a result, don't care about any result, simply focus on your performance itself.",603,http://download.ted.com/talks/NinaJablonski_2009.mp4,Positive,Non-STEM degree,Encouraging,Respectful
